date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
20141103T000000,313000.0,3,1.0,1510,10369,1.0,0,0,4,7,1010,500,1968,0,98059,47.4808,-122.099,1510,16057
20140623T000000,715000.0,4,2.5,2650,30500,1.0,0,0,4,8,1680,970,1960,0,98029,47.5535,-122.028,2650,30500
20140527T000000,500000.0,3,2.25,1760,4539,2.0,0,0,3,8,1760,0,1988,0,98029,47.5754,-122.013,1960,4808
20150324T000000,660000.0,2,1.0,1670,8195,1.0,0,0,3,7,1670,0,1954,1975,98033,47.6627,-122.192,1980,7500
20141125T000000,150000.0,2,1.0,720,212137,1.0,0,0,3,5,720,0,1982,0,98058,47.422,-122.066,2010,109642
20140926T000000,920000.0,4,2.5,3470,10045,2.0,0,0,3,10,3470,0,1993,0,98027,47.554,-122.095,4370,12359
20140909T000000,325000.0,3,2.5,1870,9825,1.0,0,0,4,7,1250,620,1994,0,98045,47.4639,-121.744,1380,11475
20140826T000000,235000.0,2,1.0,820,5100,1.0,0,0,4,6,820,0,1954,0,98056,47.5175,-122.205,2270,5100
20140520T000000,710000.0,2,1.0,1790,4000,1.0,0,0,4,7,1040,750,1923,0,98112,47.6405,-122.301,1310,4000
20141016T000000,359950.0,4,2.75,2260,5705,2.0,0,0,3,8,2260,0,2014,0,98042,47.3726,-122.159,2260,5727
20141124T000000,182000.0,3,1.0,1160,18055,1.0,0,0,2,5,1160,0,1950,0,98168,47.4772,-122.269,1340,10324
20150127T000000,474950.0,3,2.0,2250,222156,1.0,0,0,3,7,2250,0,1987,0,98065,47.542,-121.792,2110,121968
20141223T000000,325000.0,4,2.25,1920,11603,2.0,0,0,4,7,1920,0,1967,0,98058,47.4315,-122.169,1840,7350
20140630T000000,100000.0,2,1.0,930,7623,1.0,0,0,2,6,930,0,1942,0,98166,47.467,-122.349,1300,7641
20150401T000000,540000.0,4,2.0,2190,8402,2.0,0,0,4,6,2190,0,1928,0,98033,47.6944,-122.175,2210,7802
20150422T000000,950000.0,3,3.0,3610,17483,2.0,0,2,4,8,3610,0,1954,0,98146,47.4852,-122.357,2230,12600
20141007T000000,732000.0,4,1.75,2360,11300,1.0,0,0,4,9,2360,0,1974,0,98006,47.5728,-122.163,2290,11951
20141124T000000,589950.0,3,2.0,2080,12094,2.0,0,0,4,8,2080,0,1982,0,98052,47.7035,-122.164,2230,12204
20140627T000000,425000.0,3,1.0,1520,213444,1.5,0,3,5,8,1520,0,1988,0,98027,47.5081,-122.093,2640,213444
20150504T000000,898888.0,3,2.5,2080,3729,2.0,0,0,3,9,2080,0,1996,0,98033,47.6731,-122.199,2080,4000
20150218T000000,286000.0,4,1.5,1600,5750,2.0,0,0,4,6,1600,0,1902,0,98118,47.5437,-122.28,1690,5750
20150122T000000,1195000.0,3,3.0,2350,1620,2.0,0,0,3,9,1560,790,2001,0,98112,47.6308,-122.279,2000,4380
20140620T000000,359950.0,3,2.25,1940,11612,1.0,0,0,4,8,1100,840,1981,0,98178,47.5018,-122.23,2180,8954
20150430T000000,1175000.0,4,2.0,2590,7220,2.0,0,2,4,10,2590,0,1930,0,98199,47.647,-122.41,2530,6380
20150331T000000,650000.0,3,2.5,2380,3332,2.0,0,0,3,9,2380,0,2014,0,98034,47.7194,-122.199,2590,4382
20150129T000000,652000.0,3,1.0,1470,6122,1.0,0,0,3,8,1200,270,1948,0,98199,47.6517,-122.406,2200,6122
20141022T000000,340000.0,4,2.5,2550,7555,2.0,0,0,3,8,2550,0,2001,0,98001,47.2614,-122.29,2550,6800
20150106T000000,555000.0,3,3.0,2920,23085,1.5,0,2,3,7,1540,1380,1908,0,98136,47.5159,-122.395,2270,18180
20150414T000000,579950.0,4,2.5,2880,213444,1.0,0,0,5,8,2140,740,1984,0,98092,47.2887,-122.109,2810,213444
20140825T000000,915000.0,3,2.5,3140,9808,2.0,0,0,3,9,2500,640,2001,0,98052,47.6383,-122.097,2370,10014
20141202T000000,385000.0,4,2.75,2960,10454,1.0,0,1,3,8,2360,600,1979,0,98198,47.4006,-122.322,1870,10500
20140922T000000,485000.0,3,2.5,1880,5502,2.0,0,0,3,8,1880,0,1988,0,98029,47.5737,-122.018,2040,5411
20150225T000000,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062
20140807T000000,450000.0,3,3.25,1770,1863,2.0,0,0,3,8,1430,340,2003,0,98029,47.5478,-122.005,1410,1375
20141125T000000,500000.0,4,4.5,2690,7350,1.5,0,0,5,7,2690,0,1949,0,98125,47.7062,-122.311,1660,9000
20140508T000000,615000.0,2,1.0,1540,6872,1.0,0,0,4,7,820,720,1946,0,98119,47.6454,-122.373,1420,5538
20141113T000000,128000.0,2,1.0,980,5393,1.0,0,0,3,6,980,0,1969,0,98042,47.3674,-122.081,980,5200
20140717T000000,635000.0,4,2.0,2260,8457,2.0,0,0,3,9,2260,0,1992,0,98074,47.6251,-122.03,2410,7713
20140724T000000,216000.0,3,1.75,1580,9705,1.0,0,0,4,7,1580,0,1977,0,98042,47.3819,-122.09,1580,9942
20150329T000000,334950.0,2,2.25,1240,750,2.0,0,0,3,7,1150,90,2008,0,98027,47.5322,-122.073,1240,750
20140820T000000,1481000.0,4,3.5,5220,15411,2.0,0,3,3,11,3550,1670,2006,0,98075,47.592,-122.085,3110,14124
20150429T000000,1085000.0,3,2.5,2840,7500,2.0,0,3,3,11,2840,0,1997,0,98034,47.7049,-122.224,2580,5918
20140702T000000,2147500.0,3,3.5,4660,5500,2.0,0,4,5,10,3040,1620,1909,0,98102,47.6465,-122.319,2980,5500
20150420T000000,426000.0,3,1.5,1380,7200,1.0,0,0,3,7,1080,300,1948,0,98106,47.5292,-122.348,1220,7200
20150422T000000,372500.0,2,1.0,880,10950,1.0,0,0,4,7,880,0,1944,0,98133,47.7332,-122.352,1450,7560
20140605T000000,560000.0,4,2.5,2260,3713,2.0,0,0,3,9,2260,0,2003,0,98034,47.7247,-122.165,2260,3713
20150313T000000,560000.0,4,1.75,2120,6250,1.0,0,0,5,7,1060,1060,1917,0,98136,47.5506,-122.385,1410,6250
20150312T000000,425000.0,5,1.75,1400,5071,1.0,0,0,3,5,1400,0,1916,0,98014,47.6499,-121.908,1200,7500
20140520T000000,1125000.0,6,3.0,2880,3192,2.0,0,0,4,8,2180,700,1919,0,98103,47.6506,-122.332,1870,4533
20141208T000000,278000.0,2,2.5,1420,2229,2.0,0,0,3,7,1420,0,2004,0,98059,47.4871,-122.165,1500,2230
20150331T000000,325000.0,2,1.0,1070,8750,1.0,0,0,3,7,1070,0,1951,0,98055,47.4734,-122.198,1300,9670
20141110T000000,436000.0,4,2.5,2640,3899,2.0,0,0,3,7,2640,0,2000,0,98011,47.754,-122.217,2460,4057
20140627T000000,410000.0,3,1.0,2710,19000,2.0,0,3,4,7,2710,0,1950,0,98166,47.4462,-122.359,2150,19000
20140911T000000,340000.0,5,2.0,1750,8220,1.0,0,0,3,7,1750,0,1956,0,98155,47.7694,-122.321,1210,6760
20150310T000000,1500000.0,3,3.0,3110,9015,1.0,0,4,4,10,1590,1520,1980,0,98033,47.6624,-122.202,3150,11447
20140722T000000,495000.0,3,1.5,2240,13288,1.0,0,0,3,7,2240,0,1953,0,98033,47.6762,-122.17,2150,9900
20141007T000000,569000.0,4,2.5,2830,10954,2.0,0,0,3,8,2830,0,2003,0,98065,47.5396,-121.882,2470,10443
20141104T000000,272000.0,4,2.25,1880,6160,2.0,0,0,3,7,1880,0,1993,0,98023,47.3214,-122.347,1580,6405
20140508T000000,295000.0,2,1.75,2200,89298,1.0,0,0,3,7,1100,1100,1973,0,98027,47.4633,-121.976,2590,89298
20140930T000000,176000.0,2,1.0,920,2332,1.0,0,0,4,8,920,0,1980,0,98198,47.3779,-122.32,1310,2853
20140828T000000,507000.0,3,2.25,2210,11585,1.0,0,0,4,7,1510,700,1958,0,98155,47.7574,-122.279,1870,14092
20140814T000000,763776.0,4,2.5,2750,16139,2.0,0,0,3,9,2750,0,1989,0,98075,47.5843,-122.06,2810,13093
20140806T000000,540000.0,3,2.5,2370,16455,1.0,0,0,5,7,1640,730,1959,0,98155,47.7634,-122.277,2170,15551
20150212T000000,315000.0,4,2.0,1210,4250,1.0,0,0,4,7,1210,0,1941,0,98108,47.5275,-122.321,1210,6000
20141029T000000,265000.0,0,0.75,384,213444,1.0,0,0,3,4,384,0,2003,0,98070,47.4177,-122.491,1920,224341
20140527T000000,280000.0,3,1.0,1200,6250,1.0,0,0,3,6,920,280,1943,0,98168,47.5095,-122.331,1280,9375
20150224T000000,191950.0,2,2.5,1390,1302,2.0,0,0,3,7,1390,0,1987,0,98003,47.3081,-122.329,1390,2052
20141222T000000,239000.0,4,1.75,1500,12560,1.0,0,0,4,7,1000,500,1977,0,98002,47.2918,-122.197,1700,9020
20140909T000000,272000.0,5,1.5,2550,6300,1.0,0,0,4,7,1560,990,1959,0,98056,47.5014,-122.172,1380,6300
20141014T000000,370000.0,3,1.75,1160,8774,1.0,0,0,3,7,1160,0,1972,0,98034,47.7159,-122.165,1990,7908
20140602T000000,675000.0,3,2.25,2610,9002,2.0,0,0,3,9,2610,0,1988,0,98052,47.6909,-122.104,2320,8306
20150514T000000,456500.0,4,2.5,2580,11780,2.0,0,0,3,9,2580,0,2003,0,98038,47.3658,-122.04,2410,8403
20150326T000000,692500.0,3,2.5,2420,198198,2.0,0,0,3,9,2420,0,1997,0,98077,47.772,-122.022,2780,179467
20150419T000000,670000.0,3,1.75,1850,8160,1.0,0,0,3,8,1850,0,1952,0,98177,47.7241,-122.363,1600,8160
20141003T000000,592500.0,4,1.5,2080,4400,1.5,0,0,3,7,2080,0,1925,0,98122,47.606,-122.299,1680,4400
20141016T000000,522500.0,3,1.0,1520,9030,1.0,0,0,3,7,1520,0,1956,0,98007,47.587,-122.134,1470,8712
20150505T000000,260000.0,3,1.0,1200,6615,1.0,0,0,4,7,1200,0,1954,0,98106,47.5168,-122.351,1230,6615
20141002T000000,725000.0,4,2.25,3440,14237,2.0,0,0,3,9,3440,0,1982,0,98077,47.7241,-122.065,3250,18365
20140610T000000,1250000.0,4,2.5,3700,21755,1.0,0,4,3,11,2620,1080,1988,0,98006,47.5662,-122.108,3480,13786
20150502T000000,1450000.0,3,4.5,3970,24920,2.0,0,2,3,10,3260,710,1977,1999,98034,47.7183,-122.258,2610,13838
20150320T000000,270000.0,3,2.25,1500,7410,1.0,0,0,4,7,1500,0,1973,0,98058,47.4597,-122.162,1750,7990
20150428T000000,529000.0,2,2.0,1540,9714,2.0,0,0,3,8,1540,0,2008,0,98177,47.7628,-122.359,1840,8179
20150127T000000,232000.0,3,1.75,1300,11230,1.0,0,0,5,7,1300,0,1968,0,98042,47.3811,-122.087,1300,10794
20150219T000000,435000.0,3,1.0,940,7590,1.0,0,0,4,6,940,0,1959,0,98008,47.6231,-122.12,1250,7590
20140811T000000,885000.0,2,2.0,1313,3600,1.0,0,0,3,8,1313,0,1904,2012,98119,47.6369,-122.365,1080,3600
20140614T000000,883000.0,4,2.5,2960,41656,2.0,0,0,3,10,2960,0,1985,0,98072,47.7319,-122.132,3900,35104
20150427T000000,210000.0,4,1.75,2090,6485,1.0,0,0,3,7,1280,810,1956,0,98178,47.4958,-122.265,2190,9600
20140723T000000,433500.0,3,1.0,1230,6000,1.0,0,0,4,7,780,450,1937,0,98115,47.6839,-122.281,1570,5000
20140718T000000,199000.0,3,1.0,1390,12145,1.0,0,0,4,7,1390,0,1964,0,98042,47.4225,-122.15,1030,10800
20140619T000000,734990.0,4,2.5,2650,6884,2.0,0,0,3,8,2650,0,2012,0,98053,47.6901,-122.015,2520,5866
20150106T000000,265000.0,6,2.5,2000,7650,1.5,0,0,4,7,1790,210,1960,0,98032,47.3841,-122.288,1710,7650
20140821T000000,352500.0,3,1.5,1360,7680,1.0,0,0,3,7,1360,0,1955,0,98133,47.7441,-122.337,1630,7679
20141112T000000,550000.0,3,1.75,1840,9401,1.0,0,0,3,8,1840,0,1971,0,98075,47.5847,-122.075,2850,14323
20140819T000000,335500.0,3,1.75,1260,8487,1.0,0,0,3,7,1260,0,1970,0,98011,47.7664,-122.201,1890,13051
20140811T000000,1415000.0,4,3.0,3110,4408,2.5,0,3,4,10,2510,600,1931,0,98105,47.6583,-122.27,3250,5669
20140603T000000,430000.0,3,2.0,1360,5120,1.5,0,0,4,6,910,450,1924,0,98116,47.5587,-122.393,1440,5120
20141112T000000,653500.0,2,2.5,1680,1240,2.0,0,0,3,8,1120,560,2014,0,98102,47.6372,-122.324,2060,3630
20140521T000000,625000.0,4,2.5,2630,48706,2.0,0,0,3,8,2630,0,1986,0,98072,47.775,-122.125,2680,48706
20150428T000000,420000.0,3,2.0,1750,9239,1.0,0,0,3,8,1410,340,1989,0,98133,47.7583,-122.339,1720,7874
20150318T000000,740000.0,5,2.75,3050,7520,2.0,0,0,3,8,3050,0,2014,0,98056,47.5245,-122.184,2180,10800
20140808T000000,1035000.0,4,2.5,2910,9131,2.0,0,0,3,10,2910,0,2014,0,98033,47.6826,-122.186,1880,11212
20150211T000000,362000.0,1,1.0,890,211576,1.5,0,0,3,7,890,0,1996,0,98019,47.7216,-121.883,1670,217364
20141112T000000,395000.0,2,1.5,1010,3060,1.0,0,0,4,7,1010,0,1918,0,98103,47.6897,-122.354,1160,4080
20140728T000000,215000.0,3,1.0,1180,9000,1.0,0,0,4,7,1180,0,1970,0,98031,47.39,-122.166,1290,8316
20150318T000000,551000.0,4,1.75,2040,6348,1.0,0,0,3,7,1020,1020,1962,0,98103,47.6964,-122.336,1770,5047
20140603T000000,425000.0,2,2.5,1140,1182,3.0,0,0,3,8,1140,0,2007,0,98107,47.6713,-122.383,1290,1189
20140626T000000,827000.0,4,2.5,3230,12100,1.0,0,0,3,9,1870,1360,1977,0,98006,47.562,-122.146,2670,10200
20140924T000000,650000.0,5,3.5,5110,10018,2.0,0,0,3,10,3850,1260,2003,0,98034,47.7261,-122.17,1790,10018
20140629T000000,530000.0,2,1.0,840,3400,1.0,0,2,4,7,840,0,1924,0,98119,47.6403,-122.372,2000,4000
20141006T000000,197000.0,3,1.0,1090,17630,1.0,0,0,4,7,1090,0,1962,0,98002,47.288,-122.196,1300,12000
20140603T000000,1099500.0,4,2.0,2580,6000,1.0,0,0,5,9,1300,1280,1950,0,98199,47.6514,-122.413,2300,6200
20150316T000000,305000.0,3,1.75,1460,7862,1.0,0,0,3,7,1460,0,1965,0,98155,47.7755,-122.299,2200,9293
20140626T000000,235000.0,5,2.5,2500,9583,1.0,0,0,3,7,1300,1200,1979,0,98198,47.3946,-122.312,2120,19352
20150402T000000,500000.0,4,2.75,2260,7209,1.0,0,3,3,7,1330,930,2002,0,98125,47.7088,-122.302,1790,10860
20150108T000000,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000
20140923T000000,175000.0,4,1.0,1210,6250,1.0,0,0,3,7,1210,0,1962,0,98168,47.5008,-122.333,1210,8291
20140618T000000,570000.0,4,2.5,2290,6738,2.0,0,0,3,8,2290,0,1996,0,98029,47.5714,-122.005,2100,6261
20150421T000000,420000.0,4,2.25,2270,9100,2.0,0,0,3,7,2270,0,1978,0,98034,47.7242,-122.17,1710,7910
20140701T000000,500000.0,5,3.25,3130,12087,2.0,0,0,3,8,2180,950,1975,0,98027,47.5336,-122.052,2410,10350
20150401T000000,306500.0,2,1.75,1310,10200,1.0,0,0,4,6,1310,0,1947,0,98065,47.5231,-121.82,1500,7200
20140909T000000,689000.0,2,1.75,2330,10143,1.0,0,2,4,7,1220,1110,1953,0,98146,47.4899,-122.359,2560,9750
20140520T000000,120750.0,3,1.75,1140,9628,1.0,0,0,4,7,1140,0,1969,0,98023,47.2933,-122.372,1510,9633
20140908T000000,635000.0,3,1.75,1530,5000,1.0,0,2,3,7,1020,510,1948,0,98117,47.6806,-122.36,1530,5000
20140901T000000,450000.0,3,2.25,1780,9969,1.0,0,0,3,8,1450,330,1985,0,98034,47.7286,-122.168,1950,7974
20150319T000000,623000.0,3,2.75,2390,21804,1.0,0,0,3,8,1450,940,1973,0,98034,47.7339,-122.183,2390,10136
20150331T000000,231750.0,3,1.0,1020,7615,1.0,0,0,3,7,1020,0,1981,0,98058,47.4292,-122.152,1470,9515
20140508T000000,494000.0,3,2.5,2310,4729,2.0,0,0,3,8,2310,0,2011,0,98028,47.7734,-122.237,2440,4711
20140729T000000,535000.0,3,2.0,2740,23505,2.0,0,4,3,10,2740,0,1988,0,98001,47.319,-122.26,2800,16400
20140519T000000,247000.0,3,2.25,1580,7941,2.0,0,0,4,7,1580,0,1986,0,98023,47.2843,-122.357,1730,8051
20140707T000000,437500.0,3,2.0,1490,4800,2.0,0,0,5,6,1490,0,1948,0,98117,47.6933,-122.361,1500,4800
20141022T000000,360000.0,3,1.0,1660,9600,1.0,0,0,3,7,1660,0,1963,0,98034,47.708,-122.216,2020,9600
20141028T000000,349000.0,4,2.5,1800,7620,2.0,0,0,3,8,1800,0,1995,0,98055,47.4346,-122.201,1800,6879
20150316T000000,390000.0,3,1.75,1300,10030,1.0,0,0,4,7,1300,0,1967,0,98034,47.7359,-122.192,1520,7713
20140507T000000,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310
20150108T000000,770000.0,3,2.5,2190,2658,2.0,0,3,4,9,2190,0,1979,0,98033,47.6528,-122.203,2315,2538
20140724T000000,470000.0,4,2.5,2680,8062,1.0,0,3,4,7,1530,1150,1967,0,98198,47.4132,-122.328,1920,8600
20150503T000000,377500.0,2,1.0,840,4500,1.0,0,0,3,6,840,0,1939,0,98136,47.5441,-122.39,1300,5000
20141204T000000,240000.0,3,1.0,1600,12566,1.0,0,0,4,7,1600,0,1971,0,98045,47.4431,-121.765,1600,10650
20140714T000000,335000.0,4,2.5,1830,4500,2.0,0,0,3,7,1830,0,2004,0,98038,47.3504,-122.005,2080,5100
20150223T000000,440250.0,3,1.5,1850,8124,1.0,0,0,4,7,1850,0,1948,0,98177,47.7275,-122.359,1530,8123
20140625T000000,440000.0,3,1.75,2030,17100,1.0,0,0,4,7,2030,0,1953,0,98166,47.451,-122.365,1950,14400
20140924T000000,460000.0,3,2.5,2390,47480,2.0,0,0,3,9,2390,0,2007,0,98058,47.4517,-122.084,1720,44866
20140903T000000,345000.0,3,2.5,1870,3584,2.0,0,0,3,8,1870,0,2003,0,98058,47.4521,-122.121,1900,3920
20140624T000000,358000.0,3,1.5,1810,100188,1.0,0,0,5,7,1810,0,1969,0,98022,47.2175,-121.995,1540,40415
20140604T000000,310000.0,3,2.0,1350,11150,1.0,0,0,3,7,1110,240,1995,0,98045,47.446,-121.776,1290,10043
20141229T000000,555000.0,5,2.75,2810,13144,1.0,0,0,3,8,1440,1370,1964,0,98007,47.6199,-122.141,2480,13144
20140625T000000,280000.0,7,2.5,1940,5458,2.0,0,0,3,7,1940,0,1994,0,98092,47.3191,-122.177,1710,5688
